municipality,parish,area_ha,area_km2,population,density,include
Porto,Bonfim,309.63,3.1,22978,74.2,TRUE
Porto,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",543.33,5.43,37430,68.9,TRUE
Porto,Ramalde,582.5,5.83,38847,66.7,TRUE
Matosinhos,União das freguesias de São Mamede de Infesta e Senhora da Hora,877.95,8.78,49832,56.8,TRUE
Gondomar,Rio Tinto,943.86,9.44,51083,54.1,TRUE
Vila Nova de Gaia,União das freguesias de Mafamude e Vilar do Paraíso,1057.5,10.58,52844,50.0,TRUE
Porto,União das freguesias de Lordelo do Ouro e Massarelos,558.69,5.59,27911,50.0,TRUE
Valongo,Ermesinde,787.86,7.88,39076,49.6,TRUE
Vila Nova de Gaia,União das freguesias de Santa Marinha e São Pedro da Afurada,691.43,6.91,34032,49.2,TRUE
Porto,"União das freguesias de Aldoar, Foz do Douro e Nevogilde",626.79,6.27,29085,46.4,TRUE
Maia,Pedrouços,254.09,2.54,11564,45.5,TRUE
Vila Nova de Gaia,Arcozelo,343.68,8.5,15144,44.1,TRUE
Matosinhos,União das freguesias de Matosinhos e Leça da Palmeira,1215.58,12.16,49034,40.3,TRUE
Maia,Cidade da Maia,1041.68,10.42,40534,38.9,TRUE
Porto,Campanhã,804.26,8.04,29666,36.9,TRUE
Maia,Águas Santas,820.33,8.2,26632,32.5,TRUE
Vila Nova de Gaia,Canidelo,893.08,8.93,28054,31.4,TRUE
Vila Nova de Gaia,Oliveira do Douro,753.62,7.54,22615,30.0,TRUE
Gondomar,Baguim do Monte (Rio Tinto),545.68,5.46,14386,26.4,TRUE
Vila Nova de Gaia,Vilar de Andorinho,706.51,7.07,18003,25.5,TRUE
Matosinhos,"União das freguesias de Custóias, Leça do Balio e Guifões",1883.53,18.84,44045,23.4,TRUE
Vila Nova de Gaia,Madalena,469.01,4.69,10551,22.5,TRUE
Porto,Paranhos,2122.91,7.17,45883,21.6,TRUE
Vila Nova de Gaia,União das freguesias de Gulpilhares e Valadares,1061.23,10.61,22322,21.0,TRUE
Gondomar,"União das freguesias de Gondomar (São Cosme), Valbom e Jovim",2331.8,23.32,47422,20.3,TRUE
Gondomar,União das freguesias de Fânzeres e São Pedro da Cova,2196.19,21.96,37753,17.2,FALSE
Vila Nova de Gaia,São Félix da Marinha,792.9,7.93,13560,17.1,FALSE
Maia,Moreira,867.27,8.67,13093,15.1,FALSE
Maia,Milheirós,360.42,3.6,4762,13.2,FALSE
Matosinhos,"União das freguesias de Perafita, Lavra e Santa Cruz do Bispo",2264.91,22.65,29646,13.1,FALSE
Valongo,Valongo,2023.86,20.24,25882,12.8,FALSE
Vila Nova de Gaia,Avintes,882.14,8.82,10836,12.3,FALSE
Vila Nova de Gaia,Canelas,1181.81,6.9,13918,11.8,FALSE
Vila Nova de Gaia,União das freguesias de Serzedo e Perosinho,1196.97,11.97,13745,11.5,FALSE
Maia,Vila Nova da Telha,594.31,5.94,6004,10.1,FALSE
Vila Nova de Gaia,União das freguesias de Pedroso e Seixezelo,2087.81,20.88,20226,9.7,FALSE
Maia,Nogueira e Silva Escura,882.66,8.83,8380,9.5,FALSE
Maia,Castêlo da Maia,1991.04,19.91,18587,9.3,FALSE
Valongo,Alfena,1552.03,15.52,14438,9.3,FALSE
Vila Nova de Gaia,União das freguesias de Grijó e Sermonde,1298.96,12.99,12018,9.3,FALSE
Valongo,União das freguesias de Campo e Sobrado,3148.69,31.49,15276,4.9,FALSE
Vila Nova de Gaia,"União das freguesias de Sandim, Olival, Lever e Crestuma",3415.6,34.16,15956,4.7,FALSE
Maia,São Pedro Fins,470.68,4.71,1816,3.9,FALSE
Maia,Folgosa,1011.45,10.11,3605,3.6,FALSE
Gondomar,Lomba,362.93,13.7,1284,3.5,FALSE
Gondomar,União das freguesias de Foz do Sousa e Covelo,3023.77,30.24,7034,2.3,FALSE
Gondomar,União das freguesias de Melres e Medas,2780.8,27.81,5295,1.9,FALSE
