municipality,shapefile,parish
Porto,Bonfim,Bonfim
Porto,Cedofeita,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória"
Porto,Miragaia,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória"
Porto,Santo Ildefonso,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória"
Porto,São Nicolau,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória"
Porto,Sé,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória"
Porto,Vitória,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória"
Porto,Ramalde,Ramalde
Matosinhos,São Mamede De Infesta,União das freguesias de São Mamede de Infesta e Senhora da Hora
Matosinhos,Senhora Da Hora,União das freguesias de São Mamede de Infesta e Senhora da Hora
Gondomar,Rio Tinto,Rio Tinto
Vila Nova de Gaia,Mafamude,União das freguesias de Mafamude e Vilar do Paraíso
Vila Nova de Gaia,Vilar Do Paraíso,União das freguesias de Mafamude e Vilar do Paraíso
Porto,Lordelo Do Ouro,União das freguesias de Lordelo do Ouro e Massarelos
Porto,Massarelos,União das freguesias de Lordelo do Ouro e Massarelos
Valongo,Ermesinde,Ermesinde
Vila Nova de Gaia,São Pedro Da Afurada,União das freguesias de Santa Marinha e São Pedro da Afurada
Vila Nova de Gaia,Vila Nova De Gaia (Santa Marinha),União das freguesias de Santa Marinha e São Pedro da Afurada
Porto,Aldoar,"União das freguesias de Aldoar, Foz do Douro e Nevogilde"
Porto,Foz Do Douro,"União das freguesias de Aldoar, Foz do Douro e Nevogilde"
Porto,Nevogilde,"União das freguesias de Aldoar, Foz do Douro e Nevogilde"
Maia,Pedrouços,Pedrouços
Vila Nova de Gaia,Arcozelo,Arcozelo
Matosinhos,Leça Da Palmeira,União das freguesias de Matosinhos e Leça da Palmeira
Matosinhos,Matosinhos,União das freguesias de Matosinhos e Leça da Palmeira
Maia,Gueifães,Cidade da Maia
Maia,Maia,Cidade da Maia
Maia,Vermoim,Cidade da Maia
Porto,Campanhã,Campanhã
Maia,Águas Santas,Águas Santas
Vila Nova de Gaia,Canidelo,Canidelo
Vila Nova de Gaia,Oliveira Do Douro,Oliveira do Douro
Gondomar,Baguim Do Monte (Rio Tinto),Baguim do Monte (Rio Tinto)
Vila Nova de Gaia,Vilar De Andorinho,Vilar de Andorinho
Matosinhos,Custóias,"União das freguesias de Custóias, Leça do Balio e Guifões"
Matosinhos,Guifões,"União das freguesias de Custóias, Leça do Balio e Guifões"
Matosinhos,Leça Do Balio,"União das freguesias de Custóias, Leça do Balio e Guifões"
Vila Nova de Gaia,Madalena,Madalena
Porto,Paranhos,Paranhos
Vila Nova de Gaia,Gulpilhares,União das freguesias de Gulpilhares e Valadares
Vila Nova de Gaia,Valadares,União das freguesias de Gulpilhares e Valadares
Gondomar,Gondomar (São Cosme),"União das freguesias de Gondomar (São Cosme), Valbom e Jovim"
Gondomar,Jovim,"União das freguesias de Gondomar (São Cosme), Valbom e Jovim"
Gondomar,Valbom,"União das freguesias de Gondomar (São Cosme), Valbom e Jovim"
Gondomar,Fânzeres,União das freguesias de Fânzeres e São Pedro da Cova
Gondomar,São Pedro Da Cova,União das freguesias de Fânzeres e São Pedro da Cova
Vila Nova de Gaia,São Félix Da Marinha,São Félix da Marinha
Maia,Moreira,Moreira
Maia,Milheirós,Milheirós
Matosinhos,Lavra,"União das freguesias de Perafita, Lavra e Santa Cruz do Bispo"
Matosinhos,Perafita,"União das freguesias de Perafita, Lavra e Santa Cruz do Bispo"
Matosinhos,Santa Cruz Do Bispo,"União das freguesias de Perafita, Lavra e Santa Cruz do Bispo"
Valongo,Valongo,Valongo
Vila Nova de Gaia,Avintes,Avintes
Vila Nova de Gaia,Canelas,Canelas
Vila Nova de Gaia,Perosinho,União das freguesias de Serzedo e Perosinho
Vila Nova de Gaia,Serzedo,União das freguesias de Serzedo e Perosinho
Maia,Vila Nova Da Telha,Vila Nova da Telha
Vila Nova de Gaia,Pedroso,União das freguesias de Pedroso e Seixezelo
Vila Nova de Gaia,Seixezelo,União das freguesias de Pedroso e Seixezelo
Maia,Nogueira,Nogueira e Silva Escura
Maia,Avioso (Santa Maria),Castêlo da Maia
Maia,Avioso (São Pedro),Castêlo da Maia
Maia,Barca,Castêlo da Maia
Maia,Gemunde,Castêlo da Maia
Maia,Gondim,Castêlo da Maia
Maia,Silva Escura,Castêlo da Maia
Valongo,Alfena,Alfena
Vila Nova de Gaia,Grijó,União das freguesias de Grijó e Sermonde
Vila Nova de Gaia,Sermonde,União das freguesias de Grijó e Sermonde
Valongo,Campo,União das freguesias de Campo e Sobrado
Valongo,Sobrado,União das freguesias de Campo e Sobrado
Vila Nova de Gaia,Crestuma,"União das freguesias de Sandim, Olival, Lever e Crestuma"
Vila Nova de Gaia,Lever,"União das freguesias de Sandim, Olival, Lever e Crestuma"
Vila Nova de Gaia,Olival,"União das freguesias de Sandim, Olival, Lever e Crestuma"
Vila Nova de Gaia,Sandim,"União das freguesias de Sandim, Olival, Lever e Crestuma"
Maia,São Pedro Fins,São Pedro Fins
Maia,Folgosa,Folgosa
Gondomar,Lomba,Lomba
Gondomar,Covelo,União das freguesias de Foz do Sousa e Covelo
Gondomar,Foz Do Sousa,União das freguesias de Foz do Sousa e Covelo
Gondomar,Medas,União das freguesias de Melres e Medas
Gondomar,Melres,União das freguesias de Melres e Medas
